Member_number,Date,itemDescription,Locations
2763,13-02-2015,Dinty Moore $1/2ÿ,Saratoga
4819,4/3/2015,Dove Clinical Protection Deodorant Product,San Jose
3169,2/7/2015,Dunkin Donuts $1/2 creamers,Livermore
1850,11/3/2015,Bausch+Lomb $1/1,San Rafael
4285,29-12-2015,Beefsteak 18 oz. breadÿ,Mountain View
4366,13-08-2015,Best Foods $1/1 mayonnaise squeeze,San Mateo
2253,16-06-2015,Axe Hair Care Product,El Cerrito
3398,11/3/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Newark
2215,22-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Pablo
3737,3/3/2015,Bounty/Charmin $.50/1ÿ,Concord
2649,28-11-2015,Coppertone lotion $3/1,
3203,7/8/2015,Blue Diamond $1/1 4oz+ almonds can or bag,
4261,16-02-2015,Barabsol $.50/1 10oz shaving cream,San Francisco
2435,17-07-2015,Axe Hair Care Product,San Carlos
2046,21-08-2015,Barilla $1/2 Sauce,
4267,11/2/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
1086,28-12-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Mountain View
1992,4/1/2015,Coppertone lotion $3/1,Oceanside
3622,26-07-2015,Dunkin Donuts $1/2 creamers,San Jose
4700,27-06-2015,Farm Rich Bakery item 9.5 oz,Salinas
2272,16-05-2015,Coppertone lotion $3/1,Vacaville
1663,19-05-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Oakland
2519,3/6/2015,Barabsol $.50/1 10oz shaving cream,San Jose
2639,30-10-2015,Axe Hair Care Product,San Leandro
1466,19-04-2015,Barilla $1/2 Sauce,Hollister
4122,23-10-2015,Best Foods $1/1 mayonnaise squeeze,San Francisco
3598,15-04-2015,Best Foods $1/1 mayonnaise squeeze,Santa Clara
3097,10/8/2015,Dinty Moore $1/2ÿ,
1873,19-09-2015,Megared $1/1 product,San Francisco
1537,1/2/2015,Dinty Moore $1/2ÿ,San Mateo
3960,25-03-2015,Dove Clinical Protection Deodorant Product,Sunnyvale
1136,15-06-2015,Dunkin Donuts $1/2 creamers,
2453,21-12-2015,Farm Rich Bakery item 9.5 oz,Santa Clara
1746,15-02-2015,Fiber One $.50/2 chewy bars,San Jose
3572,9/6/2015,Indiana Kitchen Baconÿ,Los Gatos
3246,24-06-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,
3207,26-11-2015,L'Oreal $2/1 skincare product ets,Santa Clara
1042,12/2/2015,Megared $1/1 product,
1176,30-03-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",Palo Alto
3054,23-02-2015,Mitchum antiperspirant/deodorant prod,Sunnyvale
4486,2/12/2015,L'Oreal $2/1 skincare product ets,Oakland
1580,5/12/2015,Farm Rich Bakery item 9.5 oz,Calistoga
1623,2/11/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Francisco
4169,24-11-2015,Coppertone lotion $3/1,
2254,24-01-2015,Dunkin Donuts $1/2 creamers,Pleasanton
4095,1/11/2015,Farm Rich Bakery item 9.5 oz,Redwood City
1264,17-11-2015,Coppertone lotion $3/1,San Jose
3375,6/1/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Milpitas
3242,23-05-2015,Barabsol $.50/1 10oz shaving cream,Santa Clara
2227,7/6/2015,Axe Hair Care Product,Sunnyvale
3847,3/12/2015,Barilla $1/2 Sauce,
3897,31-05-2015,Best Foods $1/1 mayonnaise squeeze,
1799,27-09-2015,Best Foods $1/1 mayonnaise squeeze,
2920,26-04-2015,Dinty Moore $1/2ÿ,Saratoga
3713,31-01-2015,Megared $1/1 product,
4230,5/11/2015,Aveeno $1/1 produc,San Carlos
1455,18-03-2015,Axe Body Spray Product,
3687,18-03-2015,Axe Hair Care Product,Redwood City
3869,1/8/2015,Ban $1/1 roll-on antiperspirant deodorantÿ,San Francisco
2988,14-10-2015,Barabsol $.50/1 10oz shaving cream,Sunnyvale
4242,30-03-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Pablo
4118,24-12-2015,Barilla $1/2 Sauce,
4996,24-10-2015,Bausch+Lomb $1/1,Pebble Beach
4489,4/3/2015,Beefsteak 18 oz. breadÿ,
1199,9/11/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
4108,12/5/2015,Axe Hair Care Product,San Jose
3484,5/6/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Santa Clara
1239,31-08-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
4839,19-12-2015,Bounty/Charmin $.50/1ÿ,
4748,7/5/2015,Coppertone lotion $3/1,Campbell
4426,6/6/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Lotus
3571,11/12/2015,Barabsol $.50/1 10oz shaving cream,Santa Clara
2852,8/6/2015,Axe Hair Care Product,San Leandro
3638,26-05-2015,Barabsol $.50/1 10oz shaving cream,Tracy
3635,10/3/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Milpitas
2723,7/5/2015,Barilla $1/2 Sauce,Woodland
3495,11/3/2015,Bausch+Lomb $1/1,Pleasanton
2813,16-11-2015,Beefsteak 18 oz. breadÿ,
2799,2/9/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
4723,22-05-2015,Axe Hair Care Product,San Jose
3313,8/4/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
4748,15-12-2015,Blue Diamond $1/1 4oz+ almonds can or bag,
2991,16-02-2015,Bounty/Charmin $.50/1ÿ,San Mateo
1483,1/4/2015,Coppertone lotion $3/1,Pleasanton
3950,1/10/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
1634,16-01-2015,Barabsol $.50/1 10oz shaving cream,San Jose
2694,21-11-2015,Axe Hair Care Product,San Jose
2707,18-10-2015,Barilla $1/2 Sauce,Palo Alto
2813,16-07-2015,Best Foods $1/1 mayonnaise squeeze,Santa Clara
2276,11/1/2015,Best Foods $1/1 mayonnaise squeeze,Mountain View
4726,6/2/2015,Dinty Moore $1/2ÿ,Las Vegas
4353,25-05-2015,Megared $1/1 product,San Francisco
4017,13-08-2015,Aveeno $1/1 produc,Klamath Falls
1422,21-08-2015,Axe Body Spray Product,
2714,15-03-2015,Axe Hair Care Product,Morgan Hill
2769,21-07-2015,Coppertone lotion $3/1,San Jose
4166,30-04-2015,Dunkin Donuts $1/2 creamers,
3614,2/3/2015,Farm Rich Bakery item 9.5 oz,
4361,5/9/2015,Coppertone lotion $3/1,Woodland
1922,22-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag,
4728,6/9/2015,Farm Rich Bakery item 9.5 oz,
3646,8/8/2015,Coppertone lotion $3/1,Palo Alto
1155,10/8/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
2119,11/6/2015,Barabsol $.50/1 10oz shaving cream,San Carlos
1602,29-08-2015,Axe Hair Care Product,Milpitas
1074,24-06-2015,Barilla $1/2 Sauce,Campbell
2256,11/4/2015,Best Foods $1/1 mayonnaise squeeze,
1348,17-09-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
3806,28-08-2015,Dinty Moore $1/2ÿ,San Pablo
1711,6/6/2015,Megared $1/1 product,San Jose
3959,12/4/2015,Dinty Moore $1/2ÿ,Los Gatos
1590,15-08-2015,Dove Clinical Protection Deodorant Product,
1962,8/6/2015,Dunkin Donuts $1/2 creamers,San Jose
1766,21-01-2015,Farm Rich Bakery item 9.5 oz,San Carlos
2551,21-10-2015,Fiber One $.50/2 chewy bars,
2294,23-09-2015,Indiana Kitchen Baconÿ,San Jose
4531,29-05-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Jose
2957,12/4/2015,L'Oreal $2/1 skincare product ets,Mountain View
4415,27-01-2015,Megared $1/1 product,San Jose
1476,26-08-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",
3978,23-07-2015,Mitchum antiperspirant/deodorant prod,San Jose
2062,22-09-2015,L'Oreal $2/1 skincare product ets,San Francisco
3252,28-06-2015,Farm Rich Bakery item 9.5 oz,San Jose
3922,24-06-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Santa Clara
1491,17-10-2015,Coppertone lotion $3/1,San Francisco
3526,26-08-2015,Dunkin Donuts $1/2 creamers,Hollister
4060,11/12/2015,Farm Rich Bakery item 9.5 oz,Pleasanton
1067,8/4/2015,Coppertone lotion $3/1,San Jose
2840,27-01-2015,Dunkin Donuts $1/2 creamers,Livermore
4484,27-11-2015,Farm Rich Bakery item 9.5 oz,
2353,7/2/2015,Coppertone lotion $3/1,Pleasanton
3130,18-02-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Francisco
4273,14-06-2015,Barabsol $.50/1 10oz shaving cream,San Jose
4565,30-12-2015,Axe Hair Care Product,Pleasanton
2504,14-08-2015,Barilla $1/2 Sauce,Pleasanton
4127,23-10-2015,Best Foods $1/1 mayonnaise squeeze,Pleasanton
2690,1/4/2015,Best Foods $1/1 mayonnaise squeeze,Palo Alto
4129,22-09-2015,Dinty Moore $1/2ÿ,Pleasanton
4511,29-06-2015,Megared $1/1 product,San Jose
1602,4/8/2015,Dinty Moore $1/2ÿ,Fremont
4369,1/2/2015,Dove Clinical Protection Deodorant Product,Pacific Grove
1302,29-09-2015,Dunkin Donuts $1/2 creamers,Sausalito
3326,30-04-2015,Blue Diamond $1/1 4oz+ almonds can or bag,
2066,21-05-2015,Barabsol $.50/1 10oz shaving cream,Klamath Falls
3483,15-01-2015,Axe Hair Care Product,ANTIOCH
2840,12/2/2015,Barabsol $.50/1 10oz shaving cream,Santa Clara
1807,18-05-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Francisco
2067,12/8/2015,Barilla $1/2 Sauce,Palo Alto
3783,17-02-2015,Bausch+Lomb $1/1,
2884,4/1/2015,Beefsteak 18 oz. breadÿ,San Jose
2908,15-03-2015,Best Foods $1/1 mayonnaise squeeze,Saratoga
1330,10/7/2015,Axe Hair Care Product,San Jose
2293,8/5/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Livermore
3718,20-05-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Rafael
4338,25-01-2015,Bounty/Charmin $.50/1ÿ,Mountain View
3486,8/11/2015,Barilla $1/2 Sauce,San Mateo
3635,4/9/2015,Best Foods $1/1 mayonnaise squeeze,El Cerrito
2857,18-02-2015,Best Foods $1/1 mayonnaise squeeze,Newark
3684,13-08-2015,Dinty Moore $1/2ÿ,San Pablo
3120,20-10-2015,Megared $1/1 product,Concord
3872,19-03-2015,Dinty Moore $1/2ÿ,
2777,7/4/2015,Dove Clinical Protection Deodorant Product,
2702,27-05-2015,Dunkin Donuts $1/2 creamers,San Francisco
4796,29-06-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Carlos
1564,23-10-2015,Barabsol $.50/1 10oz shaving cream,
2740,2/7/2015,Axe Hair Care Product,San Jose
1833,13-04-2015,Barabsol $.50/1 10oz shaving cream,Mountain View
1757,23-12-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Oceanside
2975,24-10-2015,Barilla $1/2 Sauce,San Jose
4032,10/8/2015,Bausch+Lomb $1/1,Salinas
3979,16-09-2015,Beefsteak 18 oz. breadÿ,Vacaville
3772,9/3/2015,Best Foods $1/1 mayonnaise squeeze,Oakland
4523,28-10-2015,Aveeno $1/1 produc,San Jose
4004,19-04-2015,Axe Body Spray Product,San Leandro
2936,8/6/2015,Axe Hair Care Product,Hollister
2394,21-06-2015,Ban $1/1 roll-on antiperspirant deodorantÿ,San Francisco
4616,16-08-2015,Barabsol $.50/1 10oz shaving cream,Santa Clara
2362,8/7/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,
3593,3/11/2015,Barilla $1/2 Sauce,San Francisco
4389,27-08-2015,Bausch+Lomb $1/1,San Mateo
3206,11/8/2015,Beefsteak 18 oz. breadÿ,Sunnyvale
4601,4/1/2015,Best Foods $1/1 mayonnaise squeeze,
4382,13-11-2015,Axe Hair Care Product,Santa Clara
2718,8/6/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
4691,12/10/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Los Gatos
3735,28-11-2015,Bounty/Charmin $.50/1ÿ,
3900,20-12-2015,Brita $4/1 pitcher filter,Santa Clara
4959,30-06-2015,Cadbury/Reese's $1/3 Eggs multipacks,
1815,30-08-2015,Cerave Baby Product $4/1,Palo Alto
2454,8/4/2015,Cesar dry dog food $2/1 TARGET,Sunnyvale
4778,15-01-2015,Chobani $1/3 5.3 oz Flip Greek Yogurt,Oakland
2289,4/11/2015,Claritin $2/1 children's,Calistoga
1734,13-07-2015,Clorox/Pine-Sol $1.50/2 productsÿ,San Francisco
4019,5/2/2015,Coppertone lotion $3/1,
4605,28-05-2015,Covergirl $1/1 product accessories,Pleasanton
4864,14-11-2015,Danimials $1/ Two Smoothie 6 packs,Redwood City
4205,22-02-2015,Dark and Lovely $2/1 haircolor or relaxer,San Jose
1862,3/8/2015,Degree Women $2/1 dry spray antiperspirant product,Milpitas
1846,19-07-2015,Dinty Moore $1/2ÿ,Santa Clara
2019,28-05-2015,Dove Clinical Protection Deodorant Product,Sunnyvale
2042,19-11-2015,Dunkin Donuts $1/2 creamers,
1768,26-05-2015,Farm Rich Bakery item 9.5 oz,
3847,26-03-2015,Fiber One $.50/2 chewy bars,
3557,20-07-2015,Indiana Kitchen Baconÿ,Saratoga
3975,27-02-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,
4198,18-03-2015,L'Oreal $2/1 skincare product ets,San Carlos
2580,4/9/2015,Megared $1/1 product,
3474,25-08-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",Redwood City
1678,14-11-2015,Mitchum antiperspirant/deodorant prod,San Francisco
4254,14-08-2015,L'Oreal $2/1 skincare product ets,Sunnyvale
4704,21-08-2015,Farm Rich Bakery item 9.5 oz,San Pablo
3343,10/5/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,
3812,24-06-2015,Coppertone lotion $3/1,Pebble Beach
3093,13-03-2015,Dunkin Donuts $1/2 creamers,
2170,18-06-2015,Farm Rich Bakery item 9.5 oz,San Jose
4867,29-10-2015,Coppertone lotion $3/1,San Jose
3899,23-03-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Santa Clara
2941,3/10/2015,Barabsol $.50/1 10oz shaving cream,San Jose
1958,3/7/2015,Axe Hair Care Product,
2760,8/8/2015,Barilla $1/2 Sauce,Campbell
4413,3/8/2015,Best Foods $1/1 mayonnaise squeeze,Lotus
1737,15-05-2015,Best Foods $1/1 mayonnaise squeeze,Santa Clara
4202,18-02-2015,Dinty Moore $1/2ÿ,San Leandro
1065,13-11-2015,Megared $1/1 product,Tracy
3819,28-06-2015,Dinty Moore $1/2ÿ,Milpitas
2854,8/2/2015,Dove Clinical Protection Deodorant Product,Woodland
4387,16-09-2015,Dunkin Donuts $1/2 creamers,Pleasanton
4530,12/4/2015,Farm Rich Bakery item 9.5 oz,
4191,3/11/2015,Fiber One $.50/2 chewy bars,San Jose
3102,4/12/2015,Indiana Kitchen Baconÿ,San Jose
1946,25-01-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Jose
2156,15-05-2015,L'Oreal $2/1 skincare product ets,
1444,16-12-2015,Megared $1/1 product,San Mateo
1699,14-05-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",Pleasanton
4954,4/5/2015,Mitchum antiperspirant/deodorant prod,San Jose
2207,8/4/2015,L'Oreal $2/1 skincare product ets,San Jose
4826,28-01-2015,Farm Rich Bakery item 9.5 oz,San Jose
2374,8/6/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Palo Alto
1604,18-08-2015,Coppertone lotion $3/1,Santa Clara
4437,29-11-2015,Dunkin Donuts $1/2 creamers,Mountain View
2319,10/5/2015,Farm Rich Bakery item 9.5 oz,Las Vegas
3018,27-06-2015,Coppertone lotion $3/1,San Francisco
1195,28-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Klamath Falls
1768,4/9/2015,Barabsol $.50/1 10oz shaving cream,
3017,28-09-2015,Axe Hair Care Product,Morgan Hill
3384,29-11-2015,Barilla $1/2 Sauce,San Jose
1918,30-01-2015,Best Foods $1/1 mayonnaise squeeze,
2524,17-10-2015,Best Foods $1/1 mayonnaise squeeze,
2798,17-06-2015,Dinty Moore $1/2ÿ,Woodland
2096,25-01-2015,Megared $1/1 product,
1489,13-03-2015,Aveeno $1/1 produc,
1431,20-07-2015,Axe Body Spray Product,Palo Alto
2747,5/7/2015,Axe Hair Care Product,San Jose
3054,22-03-2015,Ban $1/1 roll-on antiperspirant deodorantÿ,San Carlos
2691,9/10/2015,Barabsol $.50/1 10oz shaving cream,Milpitas
1752,19-04-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Campbell
3027,15-09-2015,Barilla $1/2 Sauce,
4452,17-06-2015,Bausch+Lomb $1/1,San Jose
4129,13-08-2015,Beefsteak 18 oz. breadÿ,San Pablo
3523,9/11/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
2128,11/2/2015,Axe Hair Care Product,Los Gatos
4867,3/2/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,
4762,30-10-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
1632,29-05-2015,Bounty/Charmin $.50/1ÿ,San Carlos
4018,17-11-2015,Coppertone lotion $3/1,
1722,13-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
1438,19-10-2015,Barabsol $.50/1 10oz shaving cream,San Jose
3958,27-10-2015,Axe Hair Care Product,Mountain View
3292,13-09-2015,Barilla $1/2 Sauce,San Jose
2861,23-02-2015,Best Foods $1/1 mayonnaise squeeze,
1757,24-02-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
1509,30-12-2015,Dinty Moore $1/2ÿ,San Francisco
2364,11/5/2015,Megared $1/1 product,San Jose
3084,26-10-2015,Aveeno $1/1 produc,Santa Clara
1850,17-02-2015,Axe Body Spray Product,San Francisco
1949,17-03-2015,Axe Hair Care Product,Hollister
4740,2/10/2015,Coppertone lotion $3/1,Pleasanton
1072,23-10-2015,Dunkin Donuts $1/2 creamers,San Jose
4196,9/7/2015,Farm Rich Bakery item 9.5 oz,Livermore
4814,13-09-2015,Coppertone lotion $3/1,
1514,28-02-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Pleasanton
4584,25-10-2015,Barabsol $.50/1 10oz shaving cream,San Francisco
2751,3/2/2015,Axe Hair Care Product,San Jose
4155,24-09-2015,Barilla $1/2 Sauce,Pleasanton
4670,11/10/2015,Best Foods $1/1 mayonnaise squeeze,Pleasanton
4566,27-07-2015,Best Foods $1/1 mayonnaise squeeze,Pleasanton
2371,30-08-2015,Dinty Moore $1/2ÿ,Palo Alto
3442,14-11-2015,Megared $1/1 product,Pleasanton
3090,27-09-2015,Dinty Moore $1/2ÿ,San Jose
1457,9/1/2015,Dove Clinical Protection Deodorant Product,Fremont
4952,8/4/2015,Dunkin Donuts $1/2 creamers,Pacific Grove
3165,11/1/2015,Bausch+Lomb $1/1,Sausalito
2608,19-09-2015,Beefsteak 18 oz. breadÿ,
2040,7/10/2015,Best Foods $1/1 mayonnaise squeeze,Klamath Falls
1327,9/8/2015,Axe Hair Care Product,ANTIOCH
3363,7/1/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Santa Clara
1731,9/9/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Francisco
2760,2/8/2015,Bounty/Charmin $.50/1ÿ,Palo Alto
3120,14-01-2015,Coppertone lotion $3/1,
1332,30-04-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
4530,12/9/2015,Barabsol $.50/1 10oz shaving cream,Saratoga
3145,23-02-2015,Axe Hair Care Product,San Jose
1099,13-08-2015,Barilla $1/2 Sauce,Livermore
3188,6/12/2015,Best Foods $1/1 mayonnaise squeeze,San Rafael
3748,13-10-2015,Best Foods $1/1 mayonnaise squeeze,Mountain View
4655,31-03-2015,Dinty Moore $1/2ÿ,San Mateo
1827,1/5/2015,Megared $1/1 product,El Cerrito
2485,17-02-2015,Aveeno $1/1 produc,Newark
4683,15-01-2015,Axe Body Spray Product,San Pablo
4358,6/11/2015,Axe Hair Care Product,Concord
1931,9/10/2015,Best Foods $1/1 mayonnaise squeeze,
2490,18-12-2015,Best Foods $1/1 mayonnaise squeeze,
4842,8/12/2015,Dinty Moore $1/2ÿ,San Francisco
4616,1/1/2015,Megared $1/1 product,San Carlos
2810,22-09-2015,Dinty Moore $1/2ÿ,
2785,18-10-2015,Dove Clinical Protection Deodorant Product,San Jose
3591,20-07-2015,Dunkin Donuts $1/2 creamers,Mountain View
3896,10/9/2015,Bausch+Lomb $1/1,Oceanside
3842,1/7/2015,Beefsteak 18 oz. breadÿ,San Jose
2648,10/7/2015,Best Foods $1/1 mayonnaise squeeze,Salinas
4688,2/10/2015,Axe Hair Care Product,Vacaville
3511,26-08-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Oakland
3084,4/9/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
3810,7/5/2015,Bounty/Charmin $.50/1ÿ,San Leandro
4348,26-02-2015,Coppertone lotion $3/1,Hollister
3584,10/3/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Francisco
2620,11/6/2015,Barabsol $.50/1 10oz shaving cream,Santa Clara
2716,18-01-2015,Axe Hair Care Product,
3797,10/8/2015,Barilla $1/2 Sauce,San Francisco
2976,2/6/2015,Best Foods $1/1 mayonnaise squeeze,San Mateo
2762,7/11/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Sunnyvale
3752,25-04-2015,Coppertone lotion $3/1,
1659,30-11-2015,Dunkin Donuts $1/2 creamers,Santa Clara
4109,8/2/2015,Farm Rich Bakery item 9.5 oz,San Jose
1542,7/8/2015,Coppertone lotion $3/1,Los Gatos
2068,7/6/2015,Blue Diamond $1/1 4oz+ almonds can or bag,
4509,14-06-2015,Barabsol $.50/1 10oz shaving cream,Santa Clara
4646,14-06-2015,Axe Hair Care Product,
2122,7/4/2015,Barilla $1/2 Sauce,Palo Alto
2730,15-06-2015,Best Foods $1/1 mayonnaise squeeze,Sunnyvale
1800,31-07-2015,Best Foods $1/1 mayonnaise squeeze,Oakland
1456,18-09-2015,Dinty Moore $1/2ÿ,Calistoga
1138,2/9/2015,Megared $1/1 product,San Francisco
4104,12/6/2015,Dinty Moore $1/2ÿ,
4985,28-02-2015,Dove Clinical Protection Deodorant Product,Pleasanton
3181,13-12-2015,Dunkin Donuts $1/2 creamers,Redwood City
3178,21-10-2015,Farm Rich Bakery item 9.5 oz,San Jose
1688,10/11/2015,Fiber One $.50/2 chewy bars,Milpitas
1488,28-11-2015,Indiana Kitchen Baconÿ,Santa Clara
4975,8/5/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Sunnyvale
4697,9/1/2015,L'Oreal $2/1 skincare product ets,
4742,11/1/2015,Megared $1/1 product,
2640,22-04-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",
2548,25-12-2015,Mitchum antiperspirant/deodorant prod,Saratoga
2825,29-12-2015,L'Oreal $2/1 skincare product ets,
2592,4/7/2015,Farm Rich Bakery item 9.5 oz,San Carlos
3622,28-12-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,
4852,21-08-2015,Coppertone lotion $3/1,Redwood City
1839,3/9/2015,Dunkin Donuts $1/2 creamers,San Francisco
2413,4/4/2015,Farm Rich Bakery item 9.5 oz,Sunnyvale
2982,14-06-2015,Coppertone lotion $3/1,San Pablo
1981,31-10-2015,Blue Diamond $1/1 4oz+ almonds can or bag,
4440,21-09-2015,Barabsol $.50/1 10oz shaving cream,Pebble Beach
3497,24-11-2015,Axe Hair Care Product,
3668,18-12-2015,Barilla $1/2 Sauce,San Jose
4460,28-05-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
1335,16-01-2015,Best Foods $1/1 mayonnaise squeeze,Santa Clara
4303,7/12/2015,Dinty Moore $1/2ÿ,San Jose
3508,28-02-2015,Megared $1/1 product,
1959,19-03-2015,Aveeno $1/1 produc,Campbell
3856,6/3/2015,Axe Body Spray Product,Lotus
3141,29-07-2015,Axe Hair Care Product,Santa Clara
4640,25-09-2015,Ban $1/1 roll-on antiperspirant deodorantÿ,San Leandro
4851,25-05-2015,Barabsol $.50/1 10oz shaving cream,Tracy
3306,22-09-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Milpitas
2193,8/4/2015,Barilla $1/2 Sauce,Woodland
1156,13-09-2015,Bausch+Lomb $1/1,Pleasanton
4596,8/4/2015,Beefsteak 18 oz. breadÿ,
1245,8/10/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
1515,5/7/2015,Axe Hair Care Product,San Jose
2564,14-07-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
4527,18-10-2015,Blue Diamond $1/1 4oz+ almonds can or bag,
2487,9/7/2015,Bounty/Charmin $.50/1ÿ,San Mateo
3420,27-02-2015,Coppertone lotion $3/1,Pleasanton
4442,28-11-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
3164,30-04-2015,Barabsol $.50/1 10oz shaving cream,San Jose
3601,1/4/2015,Axe Hair Care Product,San Jose
3176,25-05-2015,Barilla $1/2 Sauce,Palo Alto
2568,22-07-2015,Best Foods $1/1 mayonnaise squeeze,Santa Clara
1856,26-10-2015,Coppertone lotion $3/1,Mountain View
3859,30-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Las Vegas
1668,21-08-2015,Barabsol $.50/1 10oz shaving cream,San Francisco
4499,23-08-2015,Axe Hair Care Product,Klamath Falls
1753,21-08-2015,Barilla $1/2 Sauce,
3829,25-06-2015,Best Foods $1/1 mayonnaise squeeze,Morgan Hill
4825,8/1/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
3694,10/11/2015,Dinty Moore $1/2ÿ,
4147,2/1/2015,Megared $1/1 product,
2196,9/10/2015,Dinty Moore $1/2ÿ,Woodland
2229,22-05-2015,Dove Clinical Protection Deodorant Product,
4724,3/9/2015,Dunkin Donuts $1/2 creamers,
3066,11/10/2015,Bausch+Lomb $1/1,Palo Alto
1120,8/6/2015,Beefsteak 18 oz. breadÿ,San Jose
4769,22-08-2015,Best Foods $1/1 mayonnaise squeeze,San Carlos
4711,17-09-2015,Axe Hair Care Product,Milpitas
2391,22-06-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Campbell
1216,4/3/2015,Blue Diamond $1/1 4oz+ almonds can or bag,
3154,14-05-2015,Bounty/Charmin $.50/1ÿ,San Jose
3911,30-07-2015,Coppertone lotion $3/1,San Pablo
3111,15-10-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
1385,26-11-2015,Barabsol $.50/1 10oz shaving cream,Los Gatos
1158,21-03-2015,Axe Hair Care Product,
2733,22-07-2015,Barilla $1/2 Sauce,San Jose
4999,26-12-2015,Best Foods $1/1 mayonnaise squeeze,San Carlos
2882,12/6/2015,Best Foods $1/1 mayonnaise squeeze,
2590,25-06-2015,Dinty Moore $1/2ÿ,San Jose
4249,4/8/2015,Megared $1/1 product,San Jose
3012,3/5/2015,Aveeno $1/1 produc,Mountain View
1533,7/11/2015,Axe Body Spray Product,San Jose
1667,12/1/2015,Axe Hair Care Product,
4323,13-05-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
2087,22-02-2015,Best Foods $1/1 mayonnaise squeeze,San Francisco
1853,31-05-2015,Dinty Moore $1/2ÿ,San Jose
2157,29-10-2015,Megared $1/1 product,Santa Clara
1136,29-10-2015,Dinty Moore $1/2ÿ,San Francisco
